  
       XFOIL         Version 6.99
  
 Calculated polar for: Airfoils2D_049_0.6F_100_-3                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.042 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000  -0.0373   0.01453   0.00180  -0.0160   1.0003   0.9997   1.0000 300.0000
  -0.500   0.0164   0.01449   0.00163  -0.0161   1.0003   0.9997   1.0000 300.0000
   0.000   0.0697   0.01451   0.00160  -0.0161   1.0003   0.9997   1.0000 300.0000
   0.500   0.1223   0.01460   0.00172  -0.0161   1.0003   0.9997   1.0000 300.0000
   1.000   0.1740   0.01478   0.00199  -0.0163   1.0003   0.9997   1.0000 300.0000
   1.500   0.2233   0.01514   0.00253  -0.0169   1.0003   0.9997   1.0000 300.0000
   2.000   0.2651   0.01612   0.00362  -0.0185   1.0003   0.9997   1.0000 300.0000
   2.500   0.3046   0.01786   0.00537  -0.0219   1.0003   0.9997   1.0000 300.0000
   3.000   0.4868   0.01900   0.00705  -0.0451   0.8672   0.9997  19.8184 300.0000
   3.500   0.5386   0.02003   0.00781  -0.0379   0.7444   0.9997  36.7572 300.0000
   4.000   0.5700   0.02180   0.00892  -0.0274   0.6073   0.9997  55.7199 300.0000
   4.500   0.5966   0.02246   0.00809  -0.0160   0.3822   0.9997  87.0958 300.0000
   5.000   0.6364   0.02787   0.01040  -0.0116   0.1586   0.9997 118.2824 300.0000
   5.500   0.6901   0.03323   0.01463  -0.0099   0.1259   0.9997 122.9539 300.0000
   6.000   0.7422   0.04073   0.02229  -0.0090   0.1208   0.9997 123.6883 300.0000
   6.500   0.7839   0.05026   0.03216  -0.0099   0.1208   0.9997 123.6914 300.0000
   7.000   0.8120   0.06302   0.04540  -0.0144   0.1316   0.9997 122.1287 300.0000
   8.500   0.7435   0.11764   0.09771  -0.0699   0.3470   0.9997  91.9741 300.0000
   9.000   0.7476   0.12562   0.10490  -0.0701   0.3249   0.9997  95.0516 300.0000
   9.500   0.7476   0.13312   0.11171  -0.0703   0.3021   0.9997  98.2275 300.0000
  10.000   0.7554   0.14158   0.11916  -0.0702   0.2818   0.9997 101.0467 300.0000
