  
       XFOIL         Version 6.99
  
 Calculated polar for: Airfoils2D_049_0.6F_100_-3                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.049 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000  -0.0363   0.01350   0.00169  -0.0162   1.0003   0.9997   1.0000 300.0000
  -0.500   0.0176   0.01347   0.00153  -0.0163   1.0003   0.9997   1.0000 300.0000
   0.000   0.0711   0.01349   0.00151  -0.0163   1.0003   0.9997   1.0000 300.0000
   0.500   0.1240   0.01358   0.00162  -0.0164   1.0003   0.9997   1.0000 300.0000
   1.000   0.1760   0.01375   0.00190  -0.0166   1.0003   0.9997   1.0000 300.0000
   1.500   0.2253   0.01414   0.00246  -0.0173   1.0003   0.9997   1.0000 300.0000
   2.000   0.2667   0.01526   0.00366  -0.0195   1.0003   0.9997   1.0000 300.0000
   2.500   0.3950   0.01661   0.00529  -0.0373   0.9351   0.9997  10.3995 300.0000
   3.000   0.4878   0.01719   0.00590  -0.0405   0.8208   0.9997  26.2690 300.0000
   3.500   0.5277   0.01846   0.00672  -0.0326   0.7090   0.9997  41.6293 300.0000
   4.000   0.5631   0.02009   0.00770  -0.0244   0.5793   0.9997  59.7350 300.0000
   4.500   0.5909   0.02049   0.00631  -0.0150   0.3251   0.9997  95.0235 300.0000
   5.000   0.6352   0.02631   0.00922  -0.0123   0.1302   0.9997 122.3398 300.0000
   5.500   0.6901   0.03165   0.01357  -0.0103   0.1103   0.9997 125.2104 300.0000
   6.000   0.7418   0.03839   0.02008  -0.0092   0.1035   0.9997 126.2076 300.0000
   6.500   0.7859   0.04723   0.02893  -0.0091   0.1046   0.9997 126.0408 300.0000
   7.000   0.8124   0.06170   0.04482  -0.0143   0.1230   0.9997 123.3720 300.0000
