INFO:root:perf: 9.518688452576608, thickness: 0.14054641127586365
INFO:root:perf: 13.204148064135753, thickness: 0.13798844814300537
INFO:root:perf: 20.944214897287562, thickness: 0.08727557957172394
INFO:root:perf: 21.560581192624035, thickness: 0.08176842331886292
INFO:root:perf: 32.51194905224472, thickness: 0.0720687285065651
INFO:root:perf: 32.62069559694693, thickness: 0.07415439933538437
INFO:root:perf: 33.68616146164933, thickness: 0.07499328255653381
INFO:root:perf: 33.92561592249332, thickness: 0.08624417334794998
INFO:root:perf: 39.29347780448272, thickness: 0.08280504494905472
INFO:root:perf: 9.659915797790827, thickness: 0.16771051287651062
INFO:root:perf: 13.113637744380796, thickness: 0.16050605475902557
INFO:root:perf: 18.745676683820623, thickness: 0.13761615753173828
INFO:root:perf: 20.728607813917016, thickness: 0.09130751341581345
INFO:root:perf: 23.583612964126193, thickness: 0.10511283576488495
INFO:root:perf: 25.807409796746146, thickness: 0.10327140241861343
INFO:root:perf: 25.822955565322335, thickness: 0.09244515746831894
INFO:root:perf: 32.628477184622255, thickness: 0.06875398755073547
INFO:root:perf: 37.012865317577976, thickness: 0.07391338795423508
INFO:root:perf: 39.729357956396285, thickness: 0.07725394517183304
