  
       XFOIL         Version 6.99
  
 Calculated polar for: 20100901-5f tip_0.65+2                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.053 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000   0.0941   0.01294   0.00148  -0.0327   1.0000   1.0000   1.0000 254.0000
  -0.500   0.1463   0.01304   0.00147  -0.0321   1.0000   1.0000   1.0000 254.0000
   0.000   0.1977   0.01319   0.00159  -0.0315   1.0000   1.0000   1.0000 254.0000
   0.500   0.2484   0.01343   0.00185  -0.0310   1.0000   1.0000   1.0000 254.0000
   1.000   0.2984   0.01376   0.00228  -0.0306   1.0000   1.0000   1.0000 254.0000
   1.500   0.3473   0.01429   0.00295  -0.0306   1.0000   1.0000   1.0000 254.0000
   2.000   0.3936   0.01539   0.00430  -0.0323   1.0000   1.0000   1.0000 254.0000
   2.500   0.5411   0.01575   0.00465  -0.0440   0.7503   1.0000  30.2079 254.0000
   3.000   0.5797   0.01751   0.00520  -0.0366   0.5732   1.0000  53.1746 254.0000
   3.500   0.6252   0.01960   0.00627  -0.0328   0.4419   1.0000  67.9130 254.0000
   4.000   0.6719   0.02217   0.00778  -0.0300   0.3191   1.0000  81.7209 254.0000
   4.500   0.7194   0.02532   0.00977  -0.0276   0.2130   1.0000  93.6958 254.0000
   5.000   0.7695   0.02939   0.01278  -0.0259   0.1516   1.0000 100.7447 254.0000
   5.500   0.8193   0.03489   0.01754  -0.0244   0.1220   1.0000 104.1973 254.0000
   6.000   0.8636   0.04303   0.02582  -0.0237   0.1105   1.0000 105.5566 254.0000
   6.500   0.8949   0.05502   0.03827  -0.0250   0.1125   1.0000 105.3225 254.0000
   7.000   0.9111   0.06992   0.05344  -0.0299   0.1243   1.0000 103.9351 254.0000
