  
       XFOIL         Version 6.99
  
 Calculated polar for: 20120105-25-20_0.65+2                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.249 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000   0.1590   0.00620   0.00099  -0.0445   1.0000   1.0000   1.0000 257.0000
  -0.500   0.2135   0.00631   0.00103  -0.0441   1.0000   1.0000   1.0000 257.0000
   0.000   0.2884   0.00640   0.00110  -0.0481   0.9803   1.0000  12.2400 257.0000
   0.500   0.3752   0.00637   0.00091  -0.0533   0.8684   1.0000  30.9208 257.0000
   1.000   0.4220   0.00726   0.00080  -0.0497   0.6522   1.0000  52.0728 257.0000
   1.500   0.4707   0.00831   0.00093  -0.0479   0.4866   1.0000  65.8181 257.0000
   2.000   0.5229   0.00912   0.00114  -0.0471   0.3935   1.0000  73.5470 257.0000
   2.500   0.5760   0.00981   0.00138  -0.0464   0.3337   1.0000  78.6961 257.0000
   3.000   0.6294   0.01048   0.00165  -0.0458   0.2862   1.0000  82.9802 257.0000
   3.500   0.6827   0.01115   0.00194  -0.0452   0.2431   1.0000  87.0930 257.0000
   4.000   0.7358   0.01186   0.00227  -0.0446   0.2033   1.0000  91.1562 257.0000
   4.500   0.7886   0.01265   0.00265  -0.0440   0.1663   1.0000  95.2654 257.0000
   5.000   0.8410   0.01352   0.00308  -0.0433   0.1315   1.0000  99.5282 257.0000
   5.500   0.8926   0.01457   0.00360  -0.0427   0.0984   1.0000 104.1209 257.0000
   6.000   0.9432   0.01592   0.00432  -0.0419   0.0650   1.0000 109.6095 257.0000
   6.500   0.9913   0.01796   0.00544  -0.0407   0.0428   1.0000 114.0665 257.0000
   7.000   1.0382   0.02029   0.00689  -0.0394   0.0319   1.0000 116.7219 257.0000
   7.500   1.0823   0.02346   0.00889  -0.0377   0.0267   1.0000 118.1236 257.0000
   8.000   1.1255   0.02697   0.01147  -0.0360   0.0229   1.0000 119.2492 257.0000
   8.500   1.1649   0.03149   0.01466  -0.0343   0.0205   1.0000 120.0009 257.0000
   9.000   1.1918   0.03777   0.02077  -0.0319   0.0187   1.0000 120.5805 257.0000
   9.500   1.1973   0.04703   0.02954  -0.0297   0.0185   1.0000 120.6727 257.0000
  10.000   1.1621   0.05919   0.04167  -0.0297   0.0191   1.0000 120.4661 257.0000
