  
       XFOIL         Version 6.99
  
 Calculated polar for: 20120105-25-20_0.65+2                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.057 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000   0.1359   0.01282   0.00189  -0.0408   1.0000   1.0000   1.0000 257.0000
  -0.500   0.1885   0.01295   0.00188  -0.0403   1.0000   1.0000   1.0000 257.0000
   0.000   0.2405   0.01315   0.00202  -0.0398   1.0000   1.0000   1.0000 257.0000
   0.500   0.2919   0.01344   0.00234  -0.0394   1.0000   1.0000   1.0000 257.0000
   1.000   0.3424   0.01388   0.00288  -0.0394   1.0000   1.0000   1.0000 257.0000
   1.500   0.3908   0.01479   0.00403  -0.0407   1.0000   1.0000   1.0000 257.0000
   2.000   0.5380   0.01513   0.00409  -0.0533   0.7359   1.0000  44.6410 257.0000
   2.500   0.5824   0.01695   0.00473  -0.0481   0.5823   1.0000  57.9467 257.0000
   3.000   0.6321   0.01882   0.00583  -0.0456   0.4866   1.0000  65.8158 257.0000
   3.500   0.6828   0.02082   0.00719  -0.0438   0.4142   1.0000  71.8092 257.0000
   4.000   0.7334   0.02302   0.00882  -0.0422   0.3542   1.0000  76.9017 257.0000
   4.500   0.7837   0.02550   0.01087  -0.0406   0.3010   1.0000  81.6160 257.0000
   5.000   0.8332   0.02818   0.01291  -0.0390   0.2540   1.0000  86.0246 257.0000
   5.500   0.8810   0.03139   0.01572  -0.0373   0.2081   1.0000  90.6533 257.0000
   6.000   0.9270   0.03514   0.01864  -0.0355   0.1672   1.0000  95.1629 257.0000
   6.500   0.9696   0.04020   0.02286  -0.0337   0.1350   1.0000  99.0782 257.0000
   7.000   1.0005   0.04903   0.03168  -0.0327   0.1171   1.0000 101.4455 257.0000
   7.500   1.0138   0.06126   0.04400  -0.0339   0.1108   1.0000 102.3261 257.0000
   8.000   1.0099   0.07579   0.05835  -0.0381   0.1129   1.0000 102.0298 257.0000
