  
       XFOIL         Version 6.99
  
 Calculated polar for: 20120105-60T85_0.65+2                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.297 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000   0.2120   0.00628   0.00143  -0.0590   0.9842   1.0000  10.9385 261.0000
  -0.500   0.2939   0.00620   0.00130  -0.0642   0.9610   1.0000  16.7567 261.0000
   0.000   0.3618   0.00611   0.00113  -0.0659   0.9220   1.0000  23.5461 261.0000
   0.500   0.4182   0.00613   0.00096  -0.0648   0.8571   1.0000  32.0176 261.0000
   1.000   0.4686   0.00647   0.00084  -0.0626   0.7573   1.0000  42.3531 261.0000
   1.500   0.5180   0.00714   0.00084  -0.0606   0.6385   1.0000  55.7022 261.0000
   2.000   0.5689   0.00788   0.00095  -0.0594   0.5339   1.0000  64.4257 261.0000
   2.500   0.6208   0.00859   0.00111  -0.0586   0.4502   1.0000  71.3664 261.0000
   3.000   0.6734   0.00927   0.00131  -0.0580   0.3814   1.0000  77.1946 261.0000
   3.500   0.7262   0.00995   0.00154  -0.0574   0.3223   1.0000  82.4078 261.0000
   4.000   0.7788   0.01066   0.00180  -0.0569   0.2674   1.0000  87.5270 261.0000
   4.500   0.8310   0.01146   0.00208  -0.0564   0.2125   1.0000  93.0450 261.0000
   5.000   0.8826   0.01237   0.00242  -0.0558   0.1544   1.0000  99.6006 261.0000
   5.500   0.9328   0.01362   0.00293  -0.0551   0.0938   1.0000 107.7774 261.0000
   6.000   0.9799   0.01568   0.00392  -0.0540   0.0418   1.0000 117.2424 261.0000
   6.500   1.0256   0.01798   0.00512  -0.0525   0.0254   1.0000 121.4123 261.0000
   7.000   1.0688   0.02067   0.00660  -0.0506   0.0190   1.0000 123.3764 261.0000
   7.500   1.1108   0.02377   0.00843  -0.0486   0.0155   1.0000 124.6041 261.0000
   8.000   1.1498   0.02819   0.01125  -0.0462   0.0140   1.0000 125.1462 261.0000
   8.500   1.1832   0.03353   0.01550  -0.0433   0.0129   1.0000 125.5908 261.0000
   9.000   1.2090   0.03945   0.01982  -0.0410   0.0119   1.0000 126.0147 261.0000
