  
       XFOIL         Version 6.99
  
 Calculated polar for: 20140417-47.5_0.65+2                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.058 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000   0.1404   0.01306   0.00206  -0.0437   1.0000   1.0000   1.0000 249.0000
  -0.500   0.1926   0.01327   0.00214  -0.0435   1.0000   1.0000   1.0000 249.0000
   0.000   0.2440   0.01357   0.00238  -0.0433   1.0000   1.0000   1.0000 249.0000
   0.500   0.2948   0.01401   0.00281  -0.0433   1.0000   1.0000   1.0000 249.0000
   1.000   0.3441   0.01468   0.00353  -0.0438   1.0000   1.0000   1.0000 249.0000
   1.500   0.3886   0.01598   0.00494  -0.0454   1.0000   1.0000   1.0000 249.0000
   2.000   0.5535   0.01595   0.00525  -0.0649   0.8791   1.0000  15.7787 249.0000
   2.500   0.6181   0.01603   0.00481  -0.0611   0.7346   1.0000  32.1992 249.0000
   3.000   0.6641   0.01737   0.00524  -0.0563   0.6136   1.0000  46.0058 249.0000
   3.500   0.7121   0.01907   0.00614  -0.0532   0.5177   1.0000  56.8638 249.0000
   4.000   0.7606   0.02091   0.00724  -0.0508   0.4381   1.0000  65.8776 249.0000
   4.500   0.8089   0.02291   0.00848  -0.0485   0.3665   1.0000  73.9927 249.0000
   5.000   0.8565   0.02516   0.00995  -0.0464   0.2972   1.0000  81.8796 249.0000
   5.500   0.9023   0.02770   0.01149  -0.0440   0.2273   1.0000  89.8604 249.0000
   6.000   0.9459   0.03096   0.01342  -0.0415   0.1600   1.0000  97.6407 249.0000
   6.500   0.9894   0.03564   0.01635  -0.0392   0.1152   1.0000 102.9146 249.0000
   7.000   1.0269   0.04294   0.02280  -0.0368   0.0944   1.0000 105.4069 249.0000
   7.500   1.0510   0.05278   0.03217  -0.0349   0.0872   1.0000 106.2854 249.0000
   8.000   1.0502   0.06538   0.04503  -0.0349   0.0866   1.0000 106.3562 249.0000
   8.500   1.0429   0.07788   0.05689  -0.0365   0.0893   1.0000 106.0255 249.0000
   9.000   0.9682   0.10261   0.08439  -0.0566   0.1136   1.0000 103.1064 249.0000
