  
       XFOIL         Version 6.99
  
 Calculated polar for: 20140424-35_0.65+2                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.206 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000   0.1544   0.00700   0.00116  -0.0458   1.0000   1.0000   1.0000 250.0000
  -0.500   0.2088   0.00714   0.00123  -0.0456   1.0000   1.0000   1.0000 250.0000
   0.000   0.2629   0.00733   0.00139  -0.0454   1.0000   1.0000   1.0000 250.0000
   0.500   0.3553   0.00738   0.00146  -0.0530   0.9676   1.0000   5.7050 250.0000
   1.000   0.4366   0.00722   0.00121  -0.0567   0.8707   1.0000  16.7695 250.0000
   1.500   0.4854   0.00804   0.00099  -0.0532   0.6437   1.0000  42.5230 250.0000
   2.000   0.5333   0.00915   0.00119  -0.0513   0.4988   1.0000  58.8996 250.0000
   2.500   0.5845   0.01002   0.00145  -0.0503   0.4111   1.0000  68.8124 250.0000
   3.000   0.6367   0.01080   0.00173  -0.0495   0.3439   1.0000  76.4140 250.0000
   3.500   0.6890   0.01160   0.00204  -0.0488   0.2870   1.0000  82.8879 250.0000
   4.000   0.7413   0.01242   0.00239  -0.0481   0.2350   1.0000  88.8154 250.0000
   4.500   0.7933   0.01331   0.00279  -0.0474   0.1857   1.0000  94.4863 250.0000
   5.000   0.8446   0.01436   0.00325  -0.0467   0.1366   1.0000 100.1972 250.0000
   5.500   0.8946   0.01584   0.00396  -0.0458   0.0857   1.0000 106.2943 250.0000
   6.000   0.9424   0.01802   0.00514  -0.0445   0.0512   1.0000 110.6672 250.0000
   6.500   0.9882   0.02078   0.00672  -0.0429   0.0356   1.0000 112.8089 250.0000
   7.000   1.0319   0.02460   0.00901  -0.0411   0.0279   1.0000 113.9583 250.0000
   7.500   1.0750   0.02927   0.01275  -0.0387   0.0245   1.0000 114.5309 250.0000
   8.000   1.1088   0.03572   0.01742  -0.0368   0.0218   1.0000 114.9786 250.0000
   8.500   1.1267   0.04506   0.02556  -0.0340   0.0217   1.0000 114.9880 250.0000
   9.000   1.0940   0.06039   0.04254  -0.0325   0.0249   1.0000 114.4645 250.0000
   9.500   1.0516   0.07275   0.05523  -0.0378   0.0256   1.0000 114.3331 250.0000
  10.000   1.0083   0.09611   0.07988  -0.0594   0.0265   1.0000 114.1875 250.0000
