  
       XFOIL         Version 6.99
  
 Calculated polar for: 424-35+430-20_0.65+2                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.303 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -1.000   0.1416   0.00560   0.00076  -0.0413   1.0000   1.0000   1.0000 250.0000
  -0.500   0.1964   0.00568   0.00080  -0.0410   1.0000   1.0000   1.0000 250.0000
   0.000   0.2736   0.00573   0.00084  -0.0454   0.9770   1.0000   4.6009 250.0000
   0.500   0.3491   0.00595   0.00056  -0.0479   0.7737   1.0000  27.8024 250.0000
   1.000   0.3958   0.00711   0.00065  -0.0454   0.5751   1.0000  50.3028 250.0000
   1.500   0.4489   0.00775   0.00080  -0.0446   0.4928   1.0000  59.6214 250.0000
   2.000   0.5028   0.00827   0.00094  -0.0441   0.4298   1.0000  66.7412 250.0000
   2.500   0.5569   0.00878   0.00109  -0.0436   0.3722   1.0000  73.2771 250.0000
   3.000   0.6109   0.00933   0.00125  -0.0432   0.3142   1.0000  79.8787 250.0000
   3.500   0.6646   0.00996   0.00145  -0.0427   0.2542   1.0000  86.7444 250.0000
   4.000   0.7179   0.01069   0.00170  -0.0423   0.1931   1.0000  93.7718 250.0000
   4.500   0.7706   0.01162   0.00205  -0.0419   0.1290   1.0000 101.2584 250.0000
   5.000   0.8215   0.01325   0.00280  -0.0413   0.0580   1.0000 109.9088 250.0000
   5.500   0.8712   0.01540   0.00406  -0.0402   0.0342   1.0000 113.1040 250.0000
   6.000   0.9199   0.01774   0.00556  -0.0389   0.0259   1.0000 114.3534 250.0000
   6.500   0.9662   0.02093   0.00763  -0.0374   0.0211   1.0000 115.1323 250.0000
   7.000   1.0126   0.02464   0.01051  -0.0356   0.0187   1.0000 115.5761 250.0000
   7.500   1.0513   0.03040   0.01473  -0.0340   0.0166   1.0000 115.9677 250.0000
   8.000   1.0795   0.03866   0.02190  -0.0318   0.0167   1.0000 115.9632 250.0000
