i: 0, k: 926, m: 1
Successful: CL/CD=35.5715, R=0.043695511762052774
Successful: CL/CD=34.2960, R=0.0433784918859601
Successful: CL/CD=32.1535, R=0.05318798217922449
Successful: CL/CD=22.4901, R=0.05281537026166916
Successful: CL/CD=29.9693, R=0.0501793441362679
Successful: CL/CD=31.2311, R=0.047231880482286215
Successful: CL/CD=25.2182, R=0.05445594619959593
Successful: CL/CD=31.9374, R=0.052403046283870935
Successful: CL/CD=36.8750, R=0.04278558399528265
Successful: CL/CD=33.7154, R=0.04420304112136364
Successful: CL/CD=18.2236, R=0.07052428415045142
Successful: CL/CD=33.6690, R=0.04364918265491724
True 0.0035052525345236063
0.005246090702712536
Successful: CL/CD=39.5368, R=0.042670815251767635
Successful: CL/CD=37.2306, R=0.04581416351720691
Successful: CL/CD=34.5036, R=0.051564342342317104
Successful: CL/CD=24.3305, R=nan
Successful: CL/CD=26.5230, R=0.053850519470870495
Successful: CL/CD=28.2481, R=0.07594569865614176
Successful: CL/CD=16.4221, R=0.06365948962047696
Successful: CL/CD=21.5854, R=nan
Successful: CL/CD=15.2803, R=0.06997675681486726
Successful: CL/CD=28.2098, R=0.054179105907678604
Successful: CL/CD=27.9842, R=0.047912389039993286
Successful: CL/CD=40.1658, R=0.04895542282611132
Successful: CL/CD=18.8395, R=0.06535625364631414
Successful: CL/CD=18.7530, R=0.06067904457449913
Successful: CL/CD=30.1934, R=0.04755981359630823
Successful: CL/CD=33.7079, R=0.04986086953431368
Successful: CL/CD=23.4787, R=0.05236743530258536
Successful: CL/CD=21.9071, R=0.05988388555124402
Successful: CL/CD=29.7600, R=0.047027846332639456
Successful: CL/CD=30.0779, R=0.0464932513423264
Successful: CL/CD=36.9476, R=0.04813360469415784
Successful: CL/CD=21.6429, R=0.055133468471467495
Successful: CL/CD=32.3535, R=0.05244232900440693
Successful: CL/CD=16.2092, R=0.06775725772604346
Successful: CL/CD=18.0805, R=0.06899950606748462
Successful: CL/CD=25.6858, R=0.05035793920978904
Successful: CL/CD=30.8296, R=0.06746292859315872
Successful: CL/CD=26.0645, R=0.07013430818915367
Successful: CL/CD=28.9728, R=0.05860318848863244
Successful: CL/CD=25.1357, R=0.05553008150309324
Successful: CL/CD=24.7145, R=0.06226129876449704
Successful: CL/CD=29.0389, R=0.047464643605053425
Successful: CL/CD=40.2178, R=0.04285526229068637
Successful: CL/CD=35.9216, R=0.04451335221529007
Successful: CL/CD=37.0916, R=0.044521988835185766
Successful: CL/CD=26.2273, R=0.04979438753798604
Successful: CL/CD=31.2244, R=0.047822747845202684
Successful: CL/CD=42.1735, R=0.03840228263288736
Successful: CL/CD=29.4753, R=0.04651514673605561
Successful: CL/CD=32.9816, R=0.04511106060817838
Successful: CL/CD=29.5053, R=0.046648875810205936
Successful: CL/CD=34.3319, R=0.049309900030493736
Successful: CL/CD=25.4960, R=0.04988430067896843
Successful: CL/CD=32.9589, R=0.05245004594326019
Successful: CL/CD=33.1948, R=0.04491760767996311
Successful: CL/CD=23.9675, R=0.05503720324486494
Successful: CL/CD=23.0482, R=0.05471989884972572
Successful: CL/CD=25.5358, R=0.05047836806625128
